Row, Sol
888, 1.033976e-08
889, 6.443302e-09
890, 3.573432e-09
891, 1.807335e-09
892, 8.484454e-10
893, 3.746411e-10
894, 1.572246e-10
895, 6.323515e-11
896, 2.454169e-11
897, 9.243818e-12
898, 3.395634e-12
899, 1.221626e-12
900, 4.320009e-13
901, 1.506365e-13
902, 5.193449e-14
903, 1.774456e-14
904, 6.019864e-15
905, 2.030820e-15
906, 6.820007e-16
907, 2.281357e-16
908, 7.602359e-17
909, 2.522824e-17
910, 8.337516e-18
911, -7.786826e-04
912, 9.986344e-03
913, 5.189067e-03
914, 1.761020e-03
915, 5.106126e-04
916, 1.357487e-04
917, 3.408190e-05
918, 8.206748e-06
919, 1.913088e-06
920, 4.344464e-07
921, 9.654987e-08
922, 2.107233e-08
923, 4.529654e-09
924, 9.613106e-10
925, 2.018494e-10
926, 4.201204e-11
927, 8.682417e-12
928, 1.784436e-12
929, 3.652342e-13
930, 7.454477e-14
931, 1.518993e-14
932, 3.093561e-15
933, 6.303065e-16
934, 1.285925e-16
935, 2.628970e-17
936, 5.389527e-18
937, 1.108547e-18
938, 2.288727e-19
939, 4.744855e-20
940, 9.879973e-21
941, 2.049881e-21
942, 2.079842e-21
943, -1.317080e-19
944, 8.755221e-18
945, -4.619221e-16
946, 9.929031e-15
947, 6.373519e-12
948, 2.038024e-10
949, 1.893098e-09
950, 4.211421e-09
951, 5.479904e-09
952, 5.209674e-09
953, 4.002261e-09
954, 2.629729e-09
955, 1.532108e-09
956, 8.113307e-10
957, 3.976017e-10
958, 1.827932e-10
959, 7.968458e-11
960, 3.322252e-11
961, 1.334205e-11
962, 5.192079e-12
963, 1.967916e-12
964, 7.296812e-13
965, 2.656959e-13
966, 9.532542e-14
967, 3.379533e-14
968, 1.186852e-14
969, 4.137283e-15
970, 1.433885e-15
971, 4.946556e-16
972, 1.699737e-16
973, 5.818715e-17
974, 1.983763e-17
975, 6.739292e-18
976, -4.291560e-04
977, 2.606187e-03
978, 2.225852e-03
979, 1.084561e-03
980, 4.121521e-04
981, 1.357904e-04
982, 4.070195e-05
983, 1.139370e-05
984, 3.026719e-06
985, 7.712236e-07
986, 1.899362e-07
987, 4.547364e-08
988, 1.063195e-08
989, 2.436606e-09
990, 5.490838e-10
991, 1.219963e-10
992, 2.678782e-11
993, 5.825372e-12
994, 1.256962e-12
995, 2.695672e-13
996, 5.754661e-14
997, 1.224544e-14
998, 2.600536e-15
999, 5.517692e-16
1000, 1.170773e-16
1001, 2.486376e-17
1002, 5.288637e-18
1003, 1.127339e-18
1004, 2.409338e-19
1005, 5.164462e-20
1006, 1.108852e-20
1007, 3.673455e-21
1008, -7.933473e-20
1009, 4.108222e-18
1010, -1.540725e-16
1011, -7.408938e-16
1012, 2.028091e-12
1013, 6.382579e-11
1014, 5.756941e-10
1015, 1.354670e-09
1016, 1.870714e-09
1017, 1.882614e-09
1018, 1.525598e-09
1019, 1.053637e-09
1020, 6.430968e-10
1021, 3.556987e-10
1022, 1.815733e-10
1023, 8.674234e-11
1024, 3.920840e-11
1025, 1.691796e-11
1026, 7.019857e-12
1027, 2.818468e-12
1028, 1.100804e-12
1029, 4.201630e-13
1030, 1.573544e-13
1031, 5.802478e-14
1032, 2.113204e-14
1033, 7.620665e-15
1034, 2.727159e-15
1035, 9.701651e-16
1036, 3.435176e-16
1037, 1.211588e-16
1038, 4.257593e-17
1039, 1.490183e-17
1040, 5.200844e-18
1041, -1.754915e-04
1042, 6.459261e-04
1043, 8.106062e-04
1044, 5.256375e-04
1045, 2.512241e-04
1046, 1.000538e-04
1047, 3.522372e-05
1048, 1.133226e-05
1049, 3.401901e-06
1050, 9.664158e-07
1051, 2.624413e-07
1052, 6.864897e-08
1053, 1.740060e-08
1054, 4.294630e-09
1055, 1.036263e-09
1056, 2.452940e-10
1057, 5.713017e-11
1058, 1.312612e-11
1059, 2.981946e-12
1060, 6.711899e-13
1061, 1.499574e-13
1062, 3.331015e-14
1063, 7.367191e-15
1064, 1.624435e-15
1065, 3.574927e-16
1066, 7.859959e-17
1067, 1.727916e-17
1068, 3.800800e-18
1069, 8.369905e-19
1070, 1.846070e-19
1071, 4.077906e-20
1072, 9.912849e-21
1073, -4.185121e-20
1074, 1.756003e-18
1075, -4.325476e-17
1076, -1.760134e-15
1077, 6.348281e-13
1078, 1.990524e-11
1079, 1.755935e-10
1080, 4.349476e-10
1081, 6.346940e-10
1082, 6.736321e-10
1083, 5.739740e-10
1084, 4.155000e-10
1085, 2.650268e-10
1086, 1.527697e-10
1087, 8.107147e-11
1088, 4.017331e-11
1089, 1.879797e-11
1090, 8.381850e-12
1091, 3.588472e-12
1092, 1.484576e-12
1093, 5.967736e-13
1094, 2.342123e-13
1095, 9.011974e-14
1096, 3.412169e-14
1097, 1.275342e-14
1098, 4.718439e-15
1099, 1.731980e-15
1100, 6.319164e-16
1101, 2.294774e-16
1102, 8.301398e-17
1103, 2.992383e-17
1104, 1.074517e-17
1105, 3.850440e-18
1106, -6.309036e-05
1107, 1.496432e-04
1108, 2.680909e-04
1109, 2.216045e-04
1110, 1.291884e-04
1111, 6.090759e-05
1112, 2.481662e-05
1113, 9.078305e-06
1114, 3.054978e-06
1115, 9.615602e-07
1116, 2.865099e-07
1117, 8.155609e-08
1118, 2.233757e-08
1119, 5.920997e-09
1120, 1.526234e-09
1121, 3.841346e-10
1122, 9.473349e-11
1123, 2.296191e-11
1124, 5.484838e-12
1125, 1.294207e-12
1126, 3.023048e-13
1127, 7.003308e-14
1128, 1.611764e-14
1129, 3.690439e-15
1130, 8.417690e-16
1131, 1.914835e-16
1132, 4.348183e-17
1133, 9.864399e-18
1134, 2.237197e-18
1135, 5.074974e-19
1136, 1.151823e-19
1137, 2.671836e-20
1138, -1.612316e-20
1139, 6.812072e-19
1140, -8.355801e-18
1141, -1.119107e-15
1142, 1.956326e-13
1143, 6.185626e-12
1144, 5.370257e-11
1145, 1.394615e-10
1146, 2.142422e-10
1147, 2.390256e-10
1148, 2.135313e-10
1149, 1.616125e-10
1150, 1.074873e-10
1151, 6.444340e-11
1152, 3.548850e-11
1153, 1.821112e-11
1154, 8.808152e-12
1155, 4.052986e-12
1156, 1.788050e-12
1157, 7.613135e-13
1158, 3.146284e-13
1159, 1.268341e-13
1160, 5.009180e-14
1161, 1.945573e-14
1162, 7.456356e-15
1163, 2.827824e-15
1164, 1.063836e-15
1165, 3.977773e-16
1166, 1.480402e-16
1167, 5.488994e-17
1168, 2.028272e-17
1169, 7.467357e-18
1170, 2.745980e-18
1171, -2.102151e-05
1172, 3.129417e-05
1173, 8.261314e-05
1174, 8.504869e-05
